"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",7422.598,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",8469.35,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",8883.351,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9118.091,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9199.644,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9312.157,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9778.401,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9918.34,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",9960.083,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",10377.93,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",10814.82,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",11190.46,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2019",11727.6,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",6146.632,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",7530.75,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",7559.567,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",8085.846,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",7846.429,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",8648.972,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",8644.942,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9072.068,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",9062.743,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",9321.094,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",9710.342,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",10256.05,
"OAVG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2019",10722.0808611111,
